(109.8,126.8)
(89.6,85.6)
(114.5,104.1)
(139.8,136.3)
(87.2,94.9)
(112.2,104.8)
(96.6,102.9)
(94.6,105.4)
(110,94.9)
(99.3,109.4)
(87.6,120.4)
(94.2,111)
(111.1,110.1)
(119,77)
(102.2,113.7)
(82.8,105.8)
(113.9,87.6)
(111.4,85.4)
(93.2,92.4)
(125.2,105.1)
(117.4,104.5)
(115.5,116.1)
(96.9,102)
(65.5,131.6)
(96.2,88.7)
(95.6,90.1)
(75,67.1)
(21,102.5)
(98.8,97.3)
(97.3,109.9)
(84.2,96.8)
(96.2,92.1)
(89.5,94.6)
(97.2,61.6)
(46.8,123.3)
(109.7,71.6)
(91.1,120.8)
(126.3,125.7)
(60.6,109.9)
(102.2,92.8)
(107.3,81.8)
(60.2,79.8)
(4,65)
(96,107.2)
(88.7,103.5)
(99.5,91.7)
(98.5,91.9)
(102,100.9)
(114.5,108.3)
(71.4,87.8)
(73,82.1)
(105,105.4)
(142.5,152.5)
(102.5,110.3)
(100.9,112.8)
(126.1,117.1)
(119.5,95.3)
(93,87.2)
(97.1,100.5)
(100.8,118.5)
(113.3,91.6)
(115.9,124.2)
(84,92.4)
(95.2,102.7)
(98.9,102)
(98.8,110.8)
(92.2,102.3)
(93.8,115.3)
(85.9,109.1)
(118.3,104.3)
(90.4,89.4)
(101.8,98)
(119.8,102)
(87.2,89.5)
(113.8,91.5)
(77.4,103.9)
(103.3,128.3)
(106.2,90.5)
(91,111.5)
(99.6,95.7)
(109.2,89.7)
(116.7,108)
(111.1,100.8)
(110.8,113)
(123.4,89.6)
(95,99.7)
(115.3,84.5)
(89.5,118.3)
(94.7,91.2)
(109.2,93.7)
(107.9,90.3)
(105.1,96.4)
(119,111.2)
(103.2,84)
(91.7,97.6)
(68.2,106.1)
(85.3,89.4)
(109,115.9)
(83.6,114.4)
(98.8,95.7)
(96.8,127.7)
(92.2,118.1)
(86.5,92.1)
(98.9,109)
(96.3,91.8)
(97.5,90.7)
(90.6,89.6)
(82.2,138.3)
(111.8,98.2)
(106.2,96.8)
(106.7,107.4)
(90.5,110.4)
(91,107.5)
(101.7,95.6)
(109.5,95.5)
(144,85.3)
(99.6,97)
(99.3,105.8)
(98.1,102.4)
(119.1,83.2)
(128.9,102.1)
(104,79.1)
(104.6,95.4)
(130.7,174.3)
(102.2,100.6)
(107.9,120.4)
(93.1,101.7)
(73.3,91.7)
(103.1,106.9)
(100.1,93.1)
(109.4,94.1)
(84.2,91.5)
(121.7,95.7)
(83.3,93.4)
